name,slug,cuisine_type,description,region,fixed_lunch,website,source_category
Greeny Foodtruck,greeny-foodtruck,Poke/Bowls,"Marktküche, frisch & gesund",Zürich-Region,No,,Bowls / Healthy
Food on Wheels,food-on-wheels,Burgers|Sandwiches,"Mac'n'Cheese, Burger",Zürich-Region,Partly,https://foodonwheels.ch,Burger & Sandwiches
Fork & Bottle,fork-bottle,Burgers|Sandwiches,Burger & Fries (Feuerwehrauto),Zürich-Region,No,,Burger & Sandwiches
Society Burger & More,society-burger-more,Burgers|Sandwiches,Burger & Pommes,Zürich-Region,No,,Burger & Sandwiches
Sigi's Burger,sigis-burger,Burgers|Sandwiches,Burger (Bündner Rindfleisch),Zürich-Region,No,,Burger & Sandwiches
Joules of Joy,joules-of-joy,Burgers|Sandwiches,Burger & Fries,Zürich-Region,No,,Burger & Sandwiches
Floka's,flokas,Burgers|Sandwiches,Burger & Pommes,Zürich-Region,No,,Burger & Sandwiches
De Börner,de-boerner,Burgers|Sandwiches,Burger (CH Bio Fleisch),Zürich-Region,No,,Burger & Sandwiches
Räbeat by Ramona Schenk,raebeat-by-ramona-schenk,Burgers|Sandwiches,Burger,Berner Oberland,No,,Burger & Sandwiches
Rhystorante,rhystorante,Burgers|Sandwiches,Ox-Beef Sandwich / Ciabatta,Zürich-Region,No,,Burger & Sandwiches
Bra-Bro,bra-bro,Burgers|Sandwiches,Bratenbrot / Gourmet Fleisch Sandwich,Zürich-Region,No,,Burger & Sandwiches
PICNCHICN,picnchicn,Burgers|Sandwiches,Pulled Pork / Chicken Sandwich,Embrach (ZH),No,,Burger & Sandwiches
Manu's Foodliner,manus-foodliner,Burgers|Sandwiches,"Piadina, Schnitzelbrot, Burger, Hot Dogs",Zürich-Region,No,,Burger & Sandwiches
Planted Foodtruck,planted-foodtruck,Vegan/Vegetarian,Pflanzlicher Fleischersatz (Poulet-Style),Zürich (Küchenlabor),Partly,,Vegan
Jaybees Foodtruck,jaybees-foodtruck,Vegan/Vegetarian,"Vegan, hausgemacht",Zürich-Region,No,,Vegan
Heidi's Foodtruck,heidis-foodtruck,Other,Schweizer Käse-Gerichte + Burger,Zürich-Region,No,,Swiss
Heidi's Raclette Stübli,heidis-raclette-stuebli,Other,Raclette (mobil),Zürich-Region,No,,Swiss
Spätzlibaron,spaetzlibaron,Other,Chässpätzli (frisch gehobelt),Zwischen Winterthur & Zürich,Partly,,Swiss
Feines vom Hof,feines-vom-hof,Other,Schweizer Bauern-Spezialitäten,CH (Bauernverband),No,,Swiss
Curry Factory,curry-factory,Hot Dogs,"Currywurst, Vegi Burger, Veggie Balls",Zürich-Region,No,,Wurst & Co.
Don Curry Food Trailer,don-curry-food-trailer,Hot Dogs,Schweizer Currywurst (Schärfegrade),Zürich-Region,No,,Wurst & Co.
Dr. Dog,dr-dog,Hot Dogs,Hot Dog Kreationen,Zürich-Region,Partly,,Hot-Dog
Tom's Original,toms-original,Hot Dogs,Hot Dogs (Piaggio Ape Flotte),CH,No,,Hot-Dog
Spearman's Wrap Hot Dog,spearmans-wrap-hot-dog,Hot Dogs,Wrap Hot Dog (Tortilla),Zürich-Region,No,,Hot-Dog
Grill n' Roll,grill-n-roll,Crêpes/Waffles,Käse-Wraps (gelber Trailer),Zürich-Region,No,,Crepes / Wraps
Pommes Atelier / Dutchi,pommes-atelier-dutchi,Other,Frische CH Pommes (Swiss Made),Zürich-Region,No,,Kartoffeln & Co.
Le Schnauz,le-schnauz,Crêpes/Waffles,Crêpes (Citroen HY + Camper),Zürich-Region,No,,Crepes / Wraps
Creperia süss & würzig,creperia-suess-wuerzig,Crêpes/Waffles,"Crêpes (süss/salzig, glutenfrei Opt.)",Zürich-Region,No,,Crepes / Wraps
Huebi's Foodtruck,huebis-foodtruck,Desserts,"Crêpes, Bubble Waffles, Frozen Yoghurt, Kaffee",Zürich-Region,No,,Dessert
My Bubble & Crêpes,my-bubble-cr-pes,Desserts,Crêpes & Bubble Waffles (VW Bulli),Wiedlisbach-Region,No,,Dessert
Rollende Gelateria,rollende-gelateria,Desserts,Gelato / Eisdiele,Zürich-Region,No,,Dessert
Marlene's Street Café,marlenes-street-caf,Desserts,"Dessert-Buffets, Cupcakes, Macarons",Zürich-Region,No,,Dessert
Petit Frère,petit-fr-re,Coffee/Drinks,Barista Kaffee & Backwaren (Provence Van),Zürich,Partly,,Getränke & Kaffee
Miró Coffee Truck,mir-coffee-truck,Coffee/Drinks,Kaffee & Brownies,Zürich,Partly,,Getränke & Kaffee
Coffee Mafia,coffee-mafia,Coffee/Drinks,Barista Kaffee,CH,No,,Getränke & Kaffee
Barista Bus 1977,barista-bus-1977,Coffee/Drinks,Barista Kaffee (Renault Estafette),Zürich-Region,No,,Getränke & Kaffee
Porchetta Imbiss,porchetta-imbiss,Hot Dogs,Porchetta Panino (classico/mediteran),Zürich,Partly,,Wurst & Co.
Zili's Foodtruck,zilis-foodtruck,Other,Allrounder,Zürich-Region,No,,Wechselnd
Volière,voli-re,Vegan/Vegetarian,Vegetarische Mittagsmenüs (Bistro-Bar),Luzern (Vierwaldstättersee),Partly,,Vegi
Food-Velotruck,food-velotruck,Vegan/Vegetarian,"Vegan, Weltküche (Velotruck)",Luzern,Partly,,Vegan
Kupferkessel,kupferkessel,BBQ,"Gourmet bis Streetfood, Grill",Wauwil (LU),Partly,,BBQ & Grill
Tutku,tutku,Burgers|Sandwiches,Burgers,Sursee (LU),Partly,,Burger & Sandwiches
